

Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:46:22.945Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:46:22.945Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"12345"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T21:46:23.187Z ; Respuesta: Password incorrecto
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:24.204Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:24.207Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:46:38.068Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:46:38.068Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T21:46:38.284Z ; Respuesta: {"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwMzk5OCwiZXhwIjoxNzM0OTA0Mjk4fQ.kxZE9nmoKClVtfT7kBcMX0k9ch5ejtql_Y6cb5Vy5xE","email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:42.720Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwMzk5OCwiZXhwIjoxNzM0OTA0Mjk4fQ.kxZE9nmoKClVtfT7kBcMX0k9ch5ejtql_Y6cb5Vy5xE
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:42.729Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwMzk5OCwiZXhwIjoxNzM0OTA0Mjk4fQ.kxZE9nmoKClVtfT7kBcMX0k9ch5ejtql_Y6cb5Vy5xE
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:42.734Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:42.781Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:48.335Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwMzk5OCwiZXhwIjoxNzM0OTA0Mjk4fQ.kxZE9nmoKClVtfT7kBcMX0k9ch5ejtql_Y6cb5Vy5xE
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:48.339Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwMzk5OCwiZXhwIjoxNzM0OTA0Mjk4fQ.kxZE9nmoKClVtfT7kBcMX0k9ch5ejtql_Y6cb5Vy5xE
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:48.347Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:48.350Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:51.474Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwMzk5OCwiZXhwIjoxNzM0OTA0Mjk4fQ.kxZE9nmoKClVtfT7kBcMX0k9ch5ejtql_Y6cb5Vy5xE
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:51.479Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwMzk5OCwiZXhwIjoxNzM0OTA0Mjk4fQ.kxZE9nmoKClVtfT7kBcMX0k9ch5ejtql_Y6cb5Vy5xE
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:51.486Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:46:51.488Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: POST ; Fecha: 2024-12-22T21:46:59.722Z ; Ruta sin credenciales
Ruta consultada: /usuarios ; Método: POST ; Fecha: 2024-12-22T21:46:59.722Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456","rol":"Full Stack Developer","lenguage":"JavaScript"} 
Ruta: /usuarios ; Método: POST ; Fecha: 2024-12-22T21:46:59.785Z ; Respuesta: {"error":"El correo ya existe"}
Ruta: /usuarios ; Método: POST ; Fecha: 2024-12-22T21:46:59.785Z ; Respuesta: {"error":"El correo ya existe"}
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:47:09.114Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:47:09.114Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"12345"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T21:47:09.182Z ; Respuesta: Password incorrecto
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:47:11.047Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:47:11.049Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:47:25.231Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:47:25.231Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"1234"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T21:47:25.339Z ; Respuesta: Password incorrecto
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:47:26.775Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:47:26.777Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:47:30.085Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:47:30.085Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T21:47:30.152Z ; Respuesta: {"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo","email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:47:31.245Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:47:31.251Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:47:31.256Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:47:31.297Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:50:28.596Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:50:28.600Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:50:28.652Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:50:28.751Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
